id,nombre_iniciativa,descripcion,principio_GA,link,fecha_lanzamiento,ambito,representacion,organismo,intitucion_principal,provincia,localidad,domicilio,correo_electronico,telefono
94,TUCUMÁN A LA OBRA,"Es una iniciativa que permite nuestro Ministerio, que es un área nueva y vincula diferentes dependencias. Busca dotar de contactos y generar encuentros con organizaciones intermedias con el fin de integrarlas a la participación de proyectos de obras públicas de la Provincia. A través de coloquios, gabinetes ampliados, pudimos escuchar y coordinar acciones sobres las demandas de los diferentes medios y nos permite integrarlos con criterios de sustentabilidad y cuidado del medio ambiente",Participación,https://www.comunicaciontucuman.gob.ar/noticia/obras-servicios-publicos/216467/paso-primera-edicion-tucuman-obra-exito-total,,Gubernamental,Ejecutivo Provincial,,Ministerio de Obras y Servicios Públicos,Tucumán,,"Pcia de Corrientes 1015, T4000 San Miguel de Tucumán, Tucumán",leamedina9@gmail.com,
95,OBSERVATORIO DE LA OBRA PÚBLICA,"El observatorio de la Obra Pública es un espacio interinstitucional de participación e intercambio conformado por el Ministerio de Obras Públicas, sus organismos descentralizados y empresas, Sindicatos, Cámaras empresariales, Universidades, organizaciones de la Sociedad Civil y Cooperativas, para construcción colectiva de políticas.",Participación,https://www.argentina.gob.ar/obras-publicas/Observatorio,,Gubernamental,Ejecutivo Nacional,,Ministerio de Obras Publicas,Buenos Aires,,"Calle 7 Nro 1267, entre 58 y 59, La Plata, Buenos Aires",observatorioop@obraspublicas.gob.ar,
96,FUNDACIÓN FUTURO EN ACCION-MEDIO AMBIENTE,"La Fundación generó proyectos de Medio Ambiente, a través de trabajo en conjunto con las comunas y municipios, procediendo de ese modo conexión entre los ciudadanos, el gobierno y la organización de la fundación, promoviendo mejoras en políticas públicas",Participación,,,No gubernamental,Organización de la Sociedad Civil,,Fundación Futuro en Acción,Tucumán,,"Amador Lucero 2420 , San Miguel De Tucuman",r.bel@live.com.ar,
97,PACHALAB,"Laboratorio Ciudadano. Dispositivo que reúne personas de diferente formación que se reúnen para resolver problemas comunes. Como Laboratorio creamos, desarrollamos y facilitamos propuestas participativas e innovadoras para diferentes poblaciones etarias",Innovación,https://www.instagram.com/pachalab_salta/,,No gubernamental,Organización de la Sociedad Civil,,Organización de la Sociedad Civil en articulación con la Academia,Salta,,"Caseros N° 2205, 2º piso, Dpto. 1, Salta",pachalabsalta@gmail.com,
98,CONSEJOS PROVINCIALES DE PARTICIPACIÓN CIUDADANA,"Espacios de participación ciudadana colaborativos, multiactorales que tienen incidencia en la generación de políticas públicas, poniendo en práctica el sistema de gobernanza. Participa el gobierno provincial. municipal, organizaciones de la Sociedad civil, Academia, Cultos y ciudadanos",Participación,,,Gubernamental,Ejecutivo Provincial,,Poder Ejecutivo Dirección Provincial de Relaciones con la Sociedad Civil DIPRESCI,Tucumán,,"Jorge Newbery N°639, S.S. de Jujuy, Jujuy",ingrid_carretero@hotmail.com,
99,SISTEMA DE OBJETIVOS DE DESARROLLOS SOSTENIBLE Y SU SITIO WEB,"Portal web en el cual se puede consultar el conjunto de compromisos adquiridos con los Tucumanos, a través de los lineamientos estratégicos para el desarrollo de Tucumán y su vinculación con los objetivos del Desarrollo Sostenible. Dichos lineamientos consensuados con el sector público, privado y la sociedad civil, constituyen un marco orientador para encauzar el accionar de las políticas públicas del estado cuyas metas deben ser alcanzadas en 2030",Transparencia,,,Gubernamental,Ejecutivo Provincial,,Secretaría de Estado de Gestión Pública y Planeamiento,Tucumán,,"Av. Alem 252 Sur, T4000 San Miguel de Tucumán, Tucumán",hernanzuruy@gmail.com,
100,EXPERIENCIA MUNICIPAL DE LA CIUDAD DE FAMAILLA,"El proyecto aborda la reestructuración en la formación vial para poder distribuir el fluido del tránsito en la provincia. Par evitar el caos en los centros urbanos. Del proyecto participan personal de tránsito, comunidad, centros de vecinos, público en general.",Participación,,,Gubernamental,Poder Judicial,,Poder Judicial Centro Judicial de Tucumán. Area de Transito e investigación de la comunidad en la vía pública,Tucumán,Famaillá,"9 de Julio 440, T4000IHI San Miguel de Tucumán, Tucumán",ruthvanesadiaz@gmail.com,
101,SISTEMA DE GESTION DE OBRAS BAPO.NET,"Es un sistema por el cual se pueden cargar los diferentes estados de una obra. Ej: Ejecución, también se cargan pagos de certificados, ampliación de plazos, %de ejecución, redeterminaciones, quiénes son los inspectores, las empresas que lo ejecutan. Esto es en primera instancia, luego se hará el apartado web, para que la ciudadanía pueda ver el estado de todas las obras en ejecución participantes",Transparencia,,,Gubernamental,Ejecutivo Provincial,,Secretaria de Obras públicas en conjunto con el Registro de Constructores,Tucumán,,"Pcia de Corrientes 1015, T4000 San Miguel de Tucumán, Tucumán",paulmartinhllo@gmail.com,
102,OBSERVATORIO MUNICIPAL DE DERECHOS DE LAS PERSONAS CON DISCAPACIDAD,"Es una organización conformada por padres, profesionales y personas con discapacidad, que se dedica a ""observar"" /auditar, el cumplimiento de las normas que protegen a las personas con discapacidad. Formulan proyectos y presentan reclamos a las autoridades municipales. También es un espacio en donde se gestionan denuncias.",Participación,,,Gubernamental,Legislativo Municipal,,"Municipalidad de Yerba Buena, Poder Legislativo, Concejo Deliberante",Tucumán,Yerba Buena,"Av. Aconquija 1991, T4107 Yerba Buena, Tucumán",observatoriodiscapacidadyb@gmail.com,
103,MESAS DE TRABAJO BARRIALES ASOCIACIÓN CIVIL TECHO,"Es una asociación civil sin fines de lucro que busca la justicia social y la participación ciudadana, con el objetivo de hacer valer los derechos de las personas. Entre una de las herramientas de trabajo para conocer las problemáticas que surgen en cada barrio popular y sus necesidades, se organizan mesas de trabajo con el fin de escuchar a los vecinos y vecinas para poder llevar a cabo dichos pedidos facilitando la mediación y las herramientas necesarias.",Participación,,,No gubernamental,Organización de la Sociedad Civil,,"ORGANIZACIÓN DE LA SOCIEDAD CIVIL ""UN TECHO PARA MI PAÍS""",,,Tucumán 129. Planta Baja A. Barrio Centro. Córdoba Capital,palopujolmarti@hotmail.com,
104,LÍDERES BARRIALES,"Es un proyecto de prevención de la violencia de género y de empoderamiento de mujeres en el barrio Victoria de la Ciudad de San Miguel de Tucumán, conformado por más de 100 vecinas donde intervienen 4 Ministerios Provinciales (Salud, Desarrollo productivo, Seguridad y Desarrollo Social)",Participación,,,Gubernamental,Ejecutivo Provincial,,Poder Ejecutivo y VECINOS,Tucumán,,"12 de Octubre 248, T4000JGF San Miguel de Tucumán, Tucumán",josenestorfarhat@gmail.com,
105,CÓDIGOS DE ÉTICA PARA CONCEJOS DELIBERANTES,"Elaborar de manera colaborativa (con los estudiantes) 4 código de ética para 4 concejos deliberantes con una dinámica de a. Diagnóstico: Encuestas poblacionales, entrevistas en profundidad y grupos focales con los y las concejales. b) Redacción de códigos: Normativa de referencia, estándares y escritura conforme la información del diagnóstico. c) Difusión: Construcción de campañas de difusión a la ciudadanía de los códigos elaborados.",Participación,,,No gubernamental,Academia,,"Academia, Cátedra de ética política y pública - Facultad de Ciencia política y Relaciones Internacionales-",Córdoba,,"Av. Armada Argentina 3555, Córdoba",griselda.ibana@ucc.edu .ar Teléfono: 3515098089,
